,dia,nuo,defected,data,qSQI,cSQI,sSQI,kSQI,pSQI,basSQI,fSQI
31,0,1,0,"[ 0.00892284  0.00887234  0.00881615 ... -0.00357095 -0.0035174
 -0.00351156]",0.076,0.656,3.067,13.191,0.986,0.89,0.44143670408275737
32,0,1,0,"[-0.0031227  -0.00164972 -0.00018872 ... -0.00282379 -0.00172316
 -0.00059073]",0.753,0.58,4.874,25.094,0.993,0.929,0.5672104090613624
33,0,0,0,"[-0.01127981 -0.01173155 -0.01214936 ...  0.04310307  0.0399589
  0.03685954]",0.175,0.632,2.459,11.644,0.977,0.898,0.501679477305951
34,0,0,0,"[-0.00753205 -0.00669963 -0.0058545  ... -0.00901162 -0.00702025
 -0.00497749]",0.004,0.658,4.955,25.807,0.994,0.914,0.5629689729313009
35,0,0,0,"[-0.00085442  0.00163635  0.00407435 ... -0.01378253 -0.01403909
 -0.01438112]",0.214,0.539,2.688,13.017,0.987,0.922,0.5120967879929462
36,1,1,0,"[-0.01912288 -0.01996963 -0.02077168 ... -0.00434816 -0.00441707
 -0.00451349]",0.856,0.578,3.173,14.093,0.991,0.901,0.47215499697352203
37,1,1,0,"[ 0.0059878   0.00891073  0.01178824 ... -0.00889968 -0.00778128
 -0.00668353]",0.785,0.574,3.156,14.088,0.993,0.904,0.4697070912310567
38,0,1,0,"[-0.01509331 -0.01432793 -0.01357782 ... -0.01701153 -0.01699803
 -0.01705679]",0.128,0.583,3.771,16.879,0.993,0.916,0.597100967313334
39,0,1,0,"[ 0.00047693 -0.0020301  -0.00445828 ...  0.00929404  0.00725712
  0.00518835]",0.087,0.575,3.783,16.939,0.993,0.918,0.5999307237769098
40,1,1,0,"[ 0.00613142  0.00934347  0.01243912 ...  0.0004834   0.00017509
 -0.00016697]",0.162,0.651,1.057,21.207,0.988,0.757,0.31009937932598985
41,0,0,0,"[-0.00846723 -0.00244929  0.00344187 ...  0.01379104  0.01437138
  0.01507859]",0.258,0.657,0.135,4.859,0.977,0.825,0.34695879832681636
42,1,1,0,"[-0.03531308 -0.03522963 -0.03566275 ...  0.0042736   0.00390133
  0.00353231]",0.0,0.572,0.593,43.52,0.983,0.736,0.2982047458642497
43,0,0,0,[0.00048725 0.00128694 0.00202787 ... 0.01864823 0.01581628 0.01294098],0.247,0.6,0.43,58.58,0.983,0.75,0.22635590616602042
44,2,1,1,"[-6.63873308e-03 -4.56126610e-03 -2.52030512e-03 ...  5.76027265e-05
  1.22308885e-03  2.44859118e-03]",0.048,0.64,-0.416,7.316,0.99,0.663,0.2051502821719505
45,2,1,1,[0.01708113 0.02105148 0.02495492 ... 0.03499031 0.03420116 0.0334328 ],0.015,0.66,-0.302,26.65,0.988,0.611,0.11559799600879436
46,0,1,0,"[ 0.01133577  0.00739836  0.00351708 ...  0.00109705  0.00041347
 -0.0002939 ]",0.272,0.63,2.248,5.478,0.969,0.839,0.2176599183958759
47,1,1,0,"[-0.01165173 -0.00837208 -0.00518102 ... -0.07785691 -0.06615098
 -0.05426592]",0.009,0.637,2.663,12.392,0.982,0.867,0.4278148070666284
48,1,1,1,"[ 0.00332081 -0.00743269 -0.01797688 ...  0.04613739  0.04162017
  0.03695173]",0.022,0.566,1.541,7.073,0.985,0.809,0.3590575238440559
49,0,1,0,"[-0.01112239 -0.01131421 -0.01145706 ...  0.02146611  0.01906851
  0.01661768]",0.229,0.658,2.837,24.558,0.96,0.702,0.17861043509251048
50,0,1,1,"[ 0.05181583  0.05340778  0.05497626 ... -0.00482676 -0.00423515
 -0.00358604]",0.032,0.563,-0.044,60.664,0.977,0.658,0.17254215593928277
51,0,0,1,"[-0.00808549 -0.00855748 -0.00899469 ... -0.00092714 -0.00016772
  0.00061823]",0.459,0.578,-0.885,43.876,0.986,0.656,0.16382043900887663
52,1,1,1,[0.01100661 0.01093862 0.01083934 ... 0.00843156 0.00743275 0.00637005],0.01,0.639,-1.388,60.203,0.989,0.687,0.19643050374522636
53,1,1,0,[0.01566261 0.01822748 0.02073738 ... 0.00318548 0.00252381 0.0018238 ],0.0,0.0,4.353,21.216,0.982,0.898,0.5021653218265988
54,1,0,1,"[-0.01474145 -0.01177788 -0.00886952 ... -0.02441437 -0.01971177
 -0.01483403]",0.281,0.639,-3.48,65.48,0.981,0.716,0.18593676867426967
55,1,0,1,[0.02928915 0.02990201 0.03086321 ... 0.01930537 0.01789315 0.01650893],0.057,0.708,-1.68,38.722,0.983,0.689,0.17205157723702103
56,1,0,1,"[-0.03214216 -0.02662018 -0.02116325 ... -0.00206637 -0.00067543
  0.00080844]",0.2,0.651,0.978,9.048,0.962,0.711,0.19873943347995426
57,1,0,1,"[ 0.00299375 -0.00848696 -0.01977149 ... -0.03345679 -0.0299596
 -0.0264455 ]",0.205,0.828,-1.092,23.249,0.971,0.566,0.07755358496446903
58,0,1,0,"[-0.00661294 -0.00367839 -0.00080804 ... -0.01738855 -0.01607664
 -0.01474297]",0.002,0.654,3.62,16.045,0.993,0.883,0.5109785414294868
59,0,1,0,"[-0.00572218 -0.0035992  -0.00151054 ...  0.00601982  0.00580814
  0.00560681]",0.689,0.578,4.093,19.237,0.991,0.911,0.540862479551625
60,2,0,1,[0.19917142 0.16441491 0.13369374 ... 0.04041572 0.03584285 0.03132053],0.333,0.698,0.431,42.574,0.972,0.799,0.2932488143485064
61,2,0,1,[0.01100348 0.01135405 0.01166363 ... 0.02689034 0.02327378 0.01960067],0.215,0.641,2.07,7.618,0.982,0.813,0.3220607381693153
62,1,0,0,"[-0.00892617 -0.00767452 -0.00646413 ... -0.00905759 -0.0079243
 -0.00677617]",0.605,0.578,3.239,13.248,0.993,0.876,0.45997079543474295
63,1,1,0,"[-0.00070367 -0.00153449 -0.00233341 ... -0.01559898 -0.01225242
 -0.00884041]",0.002,0.643,3.65,15.928,0.992,0.914,0.4768641866302737
64,1,0,1,[0.00634918 0.0109508  0.0154027  ... 0.00711422 0.00730492 0.00752915],0.144,0.659,-0.419,17.501,0.987,0.674,0.15727104045700158
65,1,0,1,"[ 0.00786555  0.00908132  0.01030027 ... -0.01676863 -0.01476316
 -0.01274898]",0.044,0.593,2.03,47.446,0.984,0.651,0.1709315042056464
66,1,0,1,"[ 0.00405243  0.00756134  0.0109412  ... -0.02560073 -0.02211369
 -0.01861924]",0.306,0.707,1.148,9.913,0.978,0.851,0.2846353070670553
67,0,0,0,"[-0.00637085 -0.00302084  0.00033655 ... -0.00790703 -0.00635421
 -0.00473885]",0.302,0.659,0.041,0.782,0.979,0.84,0.2908776597259533
68,1,0,0,"[ 0.00171584  0.00058573 -0.00053682 ... -0.00710137 -0.00615607
 -0.00523237]",0.214,0.647,2.047,7.425,0.984,0.886,0.33132276900081953
